Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Achaea finita","Animals","Pollinator",1,1,1
"Acopsis viridicans","Animals","Pollinator",1,1,3
"Aganais borbonica","Animals","Pollinator",1,1,1
"Agrostis atritegulator","Animals","Pollinator",1,1,1
"Ahasverus advena ","Animals","Pollinator",1,2,8
"Allograpta nasuta","Animals","Pollinator",5,7,17
"Apis mellifera","Animals","Pollinator",8,57,123
"Brachymyrmex sp2 M_PL_065","Animals","Pollinator",3,17,1
"Campopleginae sp1 M_PL_065","Animals","Pollinator",1,1,1
"Cephonodes trochilus","Animals","Pollinator",1,1,4
"Cerambycidae sp1 M_PL_065","Animals","Pollinator",1,1,1
"Chaetocnema sp2 M_PL_065","Animals","Pollinator",2,7,1
"Chrysomya megacephala ","Animals","Pollinator",2,2,25
"Drosophila sp2 M_PL_065","Animals","Pollinator",1,2,1
"Eilema squalida","Animals","Pollinator",1,2,2
"Eristalinus flaveolus","Animals","Pollinator",1,1,17
"Foudia madagascariense","Animals","Pollinator",1,1,1
"Gelechioidea sp1 M_PL_065","Animals","Pollinator",2,2,1
"Hippotion eson","Animals","Pollinator",1,1,4
"Ischiodon aegyptius ","Animals","Pollinator",2,2,11
"Limonia sp1 M_PL_065","Animals","Pollinator",1,1,1
"Lygaeidae sp2 M_PL_065","Animals","Pollinator",1,1,1
"Lygistorrhina sp2 M_PL_065","Animals","Pollinator",1,3,1
"Melanostoma bituberculatum ","Animals","Pollinator",2,4,10
"Mordellidae sp1 M_PL_065","Animals","Pollinator",1,4,1
"Mordellidae sp2 M_PL_065","Animals","Pollinator",1,1,1
"Nacoleia sp3 M_PL_065","Animals","Pollinator",8,85,1
"Nacoleia sp4 M_PL_065","Animals","Pollinator",2,6,1
"Ornidia obesa","Animals","Pollinator",1,1,47
"Pachycerina crinicornis ","Animals","Pollinator",6,12,20
"Panara naso","Animals","Pollinator",3,3,14
"Paragus borbonicus","Animals","Pollinator",2,4,15
"Peribaea sp1 M_PL_065","Animals","Pollinator",1,1,1
"Pheidole megacephala","Animals","Pollinator",1,13,4
"Phelsuma cepediana","Animals","Pollinator",1,1,10
"Polistes hebraeus","Animals","Pollinator",1,2,18
"Psilopa iceryae ","Animals","Pollinator",4,8,6
"Pycnonotus jocosus","Animals","Pollinator",1,1,1
"Scopariinae sp1 M_PL_065","Animals","Pollinator",1,2,1
"Spodoptera littoralis","Animals","Pollinator",1,1,1
"Stomorhina lunata","Animals","Pollinator",6,12,24
"Tarundia servillei","Animals","Pollinator",1,1,4
"Technomyrmex albipes ","Animals","Pollinator",10,53,25
"Trichoplusia indicator ","Animals","Pollinator",1,2,3
"Zosterops mauritianus","Animals","Pollinator",1,3,11
"Agauria salicifolia","Plants","Plant",2,11,4
"Antirhea borbonica","Plants","Plant",1,21,10
"Aphloia theiformis","Plants","Plant",3,12,22
"Badula platiphylla","Plants","Plant",4,26,4
"Bertiera zaluzania ","Plants","Plant",3,9,7
"Coffea macrocarpa","Plants","Plant",7,41,3
"Coffea mauritiana","Plants","Plant",6,26,4
"Cordemoya integrifolia","Plants","Plant",1,2,8
"Erythrospermum monticolum","Plants","Plant",1,1,3
"Euodia chapelieri","Plants","Plant",2,2,8
"Faujasiopsis flexuosa","Plants","Plant",3,3,5
"Flagellaria indica","Plants","Plant",1,1,6
"Gaertnera rotundifolia","Plants","Plant",5,9,4
"Grangeria borbonica","Plants","Plant",6,21,6
"Helichrysum proteoides","Plants","Plant",7,20,4
"Mimusops erythroxylon","Plants","Plant",4,13,3
"Monimiastrum globosum","Plants","Plant",1,2,3
"Ochna mauritiana","Plants","Plant",2,2,6
"Ocotea laevigata","Plants","Plant",1,1,3
"Olea lancea","Plants","Plant",2,3,9
"Phyllanthus phillyreifolius","Plants","Plant",2,30,8
"Polyscias mauritiana","Plants","Plant",1,1,3
"Psiadia terebinthina","Plants","Plant",6,10,17
"Sideroxylon puberulum","Plants","Plant",15,37,6
"Stillingia lineata","Plants","Plant",5,8,20
"Warneckea trinervis","Plants","Plant",5,23,6
