Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Ahasverus advena ","Animals","Pollinator",1,1,8
"Allograpta nasuta","Animals","Pollinator",1,1,17
"Apis mellifera","Animals","Pollinator",20,56,123
"Bactrocera cucurbitae","Animals","Pollinator",1,1,2
"Brachymyrmex sp1 M_PL_066","Animals","Pollinator",2,2,1
"Cerambycidae sp1 M_PL_066","Animals","Pollinator",2,2,1
"Ceratitis roas","Animals","Pollinator",1,3,3
"Chaetocnema sp1 M_PL_066","Animals","Pollinator",1,3,1
"Chrysomya megacephala ","Animals","Pollinator",7,9,25
"Dioxyna sororcula ","Animals","Pollinator",1,1,8
"Fannia pusio ","Animals","Pollinator",2,4,15
"Hippotion eson","Animals","Pollinator",2,2,4
"Ischiodon aegyptius ","Animals","Pollinator",1,1,11
"Lauxania sp1 M_PL_066","Animals","Pollinator",1,1,1
"Lygistorrhina sp1 M_PL_066","Animals","Pollinator",1,7,1
"Macroglossum milvus","Animals","Pollinator",1,2,7
"Melanostoma bituberculatum ","Animals","Pollinator",2,3,10
"Mordellidae sp1 M_PL_066","Animals","Pollinator",1,2,1
"Musca domestica","Animals","Pollinator",2,4,26
"Nacoleia sp1 M_PL_066","Animals","Pollinator",2,4,1
"Ornidia obesa","Animals","Pollinator",1,1,47
"Orthellia albigena ","Animals","Pollinator",1,1,12
"Pachycerina crinicornis ","Animals","Pollinator",6,7,20
"Panara naso","Animals","Pollinator",2,2,14
"Paragus borbonicus","Animals","Pollinator",7,9,15
"Phalanta phalantha","Animals","Pollinator",1,1,3
"Phelsuma cepediana","Animals","Pollinator",3,4,10
"Phorinia sp1 M_PL_066","Animals","Pollinator",1,1,1
"Polistes hebraeus","Animals","Pollinator",1,1,18
"Psilopa iceryae ","Animals","Pollinator",2,2,6
"Sapromyza sp1 M_PL_066","Animals","Pollinator",1,1,1
"Sepsis lateralis ","Animals","Pollinator",1,1,4
"Siphona sp1 M_PL_066","Animals","Pollinator",1,1,1
"Stomorhina lunata","Animals","Pollinator",3,4,24
"Stomoxys calcitrans","Animals","Pollinator",1,1,15
"Syritta sp1 M_PL_066","Animals","Pollinator",1,1,1
"Technomyrmex albipes ","Animals","Pollinator",14,42,25
"Villa unifasciata","Animals","Pollinator",8,15,13
"Zosterops mauritianus","Animals","Pollinator",1,1,11
"Agauria salicifolia","Plants","Plant",2,4,4
"Antidesma madagascariense","Plants","Plant",3,4,6
"Badula platiphylla","Plants","Plant",2,2,4
"Bakerella hoyifolia","Plants","Plant",3,13,1
"Cordemoya integrifolia","Plants","Plant",2,4,8
"Erythrospermum monticolum","Plants","Plant",4,4,3
"Eugenia orbiculata","Plants","Plant",4,7,2
"Euodia chapelieri","Plants","Plant",5,5,8
"Euodia obtusifolia","Plants","Plant",4,4,6
"Flagellaria indica","Plants","Plant",4,5,6
"Gaertnera petrinensis","Plants","Plant",4,5,2
"Gaertnera rotundifolia","Plants","Plant",1,1,4
"Gaertnera sp1 M_PL_066","Plants","Plant",5,9,1
"Grangeria borbonica","Plants","Plant",2,2,6
"Helichrysum proteoides","Plants","Plant",1,4,4
"Labourdonnaisia callophylloides","Plants","Plant",4,21,9
"Mimusops erythroxylon","Plants","Plant",2,3,3
"Monimiastrum globosum","Plants","Plant",2,3,3
"Ocotea laevigata","Plants","Plant",2,2,3
"Olea lancea","Plants","Plant",4,4,9
"Pandanus barklyi","Plants","Plant",3,3,2
"Pandanus wiehii","Plants","Plant",1,2,3
"Phyllanthus phillyreifolius","Plants","Plant",5,6,8
"Psiadia terebinthina","Plants","Plant",9,18,17
"Pyrostria fasciculata","Plants","Plant",3,3,2
"Sideroxylon puberulum","Plants","Plant",15,42,6
"Smilax anceps","Plants","Plant",3,4,3
"Stillingia lineata","Plants","Plant",6,11,20
"Warneckea trinervis","Plants","Plant",3,10,6
