Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acopsis viridicans","Animals","Pollinator",1,2,3
"Ahasverus advena ","Animals","Pollinator",2,3,8
"Allograpta nasuta","Animals","Pollinator",2,3,17
"Apis mellifera","Animals","Pollinator",8,62,123
"Bactrocera cucurbitae","Animals","Pollinator",1,1,2
"Brachymyrmex sp1 M_PL_064","Animals","Pollinator",5,30,1
"Calcidoidae sp1 M_PL_064","Animals","Pollinator",1,1,1
"Chaetocnema sp1 M_PL_064","Animals","Pollinator",8,18,1
"Chrysomya megacephala ","Animals","Pollinator",3,10,25
"Condica capensis","Animals","Pollinator",1,1,1
"Dioxyna sororcula ","Animals","Pollinator",1,1,8
"Drosophila sp1 M_PL_064","Animals","Pollinator",1,4,1
"Dysauxes florida","Animals","Pollinator",1,2,15
"Eilema squalida","Animals","Pollinator",2,2,2
"Episyrphus sp1 M_PL_064","Animals","Pollinator",1,1,1
"Eristalinus flaveolus","Animals","Pollinator",3,4,17
"Eumolpinae sp1 M_PL_064","Animals","Pollinator",1,1,1
"Fannia pusio ","Animals","Pollinator",1,1,15
"Henotesia narcissus","Animals","Pollinator",1,1,8
"Homoneura sp1 M_PL_064","Animals","Pollinator",1,1,1
"Ischiodon aegyptius ","Animals","Pollinator",1,1,11
"Lecithoceridae sp1 M_PL_064","Animals","Pollinator",1,2,1
"Lecithoceridae sp2 M_PL_064","Animals","Pollinator",1,1,1
"Limoniidae sp1 M_PL_064","Animals","Pollinator",1,1,1
"Lygaeidae sp1 M_PL_064","Animals","Pollinator",3,5,1
"Lygistorrhina sp1 M_PL_064","Animals","Pollinator",5,12,1
"Mauritiborium undulatus ","Animals","Pollinator",1,2,9
"Melanostoma bituberculatum ","Animals","Pollinator",1,1,10
"Miridae sp1 M_PL_064","Animals","Pollinator",1,1,1
"Musca domestica","Animals","Pollinator",1,4,26
"Mythimna sp1 M_PL_064","Animals","Pollinator",1,1,1
"Nacoleia sp1 M_PL_064","Animals","Pollinator",11,51,1
"Nacoleia sp2 M_PL_064","Animals","Pollinator",1,3,1
"Ornidia obesa","Animals","Pollinator",3,5,47
"Orthellia albigena ","Animals","Pollinator",1,1,12
"Pachycerina crinicornis ","Animals","Pollinator",16,48,20
"Panara naso","Animals","Pollinator",5,10,14
"Paragus borbonicus","Animals","Pollinator",2,3,15
"Pelecophora intemipta","Animals","Pollinator",1,3,9
"Pheidole megacephala","Animals","Pollinator",1,2,4
"Polistes hebraeus","Animals","Pollinator",3,4,18
"Psilopa iceryae ","Animals","Pollinator",3,6,6
"Psyllidae sp1 M_PL_064","Animals","Pollinator",1,1,1
"Sapromyza sp1 M_PL_064","Animals","Pollinator",1,5,1
"Sarcophaga arno ","Animals","Pollinator",1,1,12
"Spilogona sp1 M_PL_064","Animals","Pollinator",1,1,1
"Stomorhina lunata","Animals","Pollinator",10,28,24
"Stomoxys calcitrans","Animals","Pollinator",4,4,15
"Stomoxys niger","Animals","Pollinator",1,1,9
"Syritta sp1 M_PL_064","Animals","Pollinator",1,1,1
"Technomyrmex albipes ","Animals","Pollinator",10,48,25
"Trichoplusia indicator ","Animals","Pollinator",1,1,3
"Zaprionus vittiger","Animals","Pollinator",1,1,1
"Zosterops mauritianus","Animals","Pollinator",3,5,11
"Agauria salicifolia","Plants","Plant",1,1,4
"Antidesma madagascariense","Plants","Plant",5,9,6
"Antirhea borbonica","Plants","Plant",2,12,10
"Aphloia theiformis","Plants","Plant",6,24,22
"Bertiera zaluzania ","Plants","Plant",5,15,7
"Chassalia coriacea","Plants","Plant",1,6,6
"Chassalia petrinensis","Plants","Plant",4,6,1
"Claoxylon linostachys","Plants","Plant",3,17,7
"Coffea macrocarpa","Plants","Plant",6,13,3
"Coffea mauritiana","Plants","Plant",9,23,4
"Cordemoya integrifolia","Plants","Plant",2,3,8
"Croton fothergillifolius","Plants","Plant",5,9,11
"Doratoxylon apetalum","Plants","Plant",4,11,2
"Dracaena reflexa","Plants","Plant",3,19,4
"Erythrospermum monticolum","Plants","Plant",4,6,3
"Erythroxylum macrocarpum","Plants","Plant",6,7,11
"Euodia chapelieri","Plants","Plant",2,2,8
"Faujasiopsis flexuosa","Plants","Plant",2,2,5
"Flagellaria indica","Plants","Plant",3,6,6
"Grangeria borbonica","Plants","Plant",4,9,6
"Mimusops erythroxylon","Plants","Plant",5,11,3
"Molinaea alternifolia","Plants","Plant",3,3,8
"Monimiastrum globosum","Plants","Plant",5,6,3
"Ochna mauritiana","Plants","Plant",2,2,6
"Olea lancea","Plants","Plant",1,1,9
"Pandanus wiehii","Plants","Plant",1,1,3
"Phyllanthus phillyreifolius","Plants","Plant",4,10,8
"Pittosporum senacia","Plants","Plant",5,15,6
"Polyscias mauritiana","Plants","Plant",6,23,3
"Psiadia terebinthina","Plants","Plant",12,31,17
"Roussea simplex ","Plants","Plant",2,4,5
"Sideroxylon puberulum","Plants","Plant",17,94,6
"Stillingia lineata","Plants","Plant",4,12,20
